"0","1","model_type","df_name","crime_category"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_7_Cook County Public Defender's Office"
"0.99","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_7_Cook County Public Defender's Office"
"0.99","0","GLMNET_PRECISION","mydtm_sparse_0.98","code_7_Cook County Public Defender's Office"
"1","0","GLMNET_RECALL","mydtm_sparse_0.98","code_7_Cook County Public Defender's Office"
"0.99","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_7_Cook County Public Defender's Office"
"0.99","0.67","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_7_Cook County Public Defender's Office"
"1","0.29","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_7_Cook County Public Defender's Office"
"0.99","0.4","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_7_Cook County Public Defender's Office"
"1","NaN","SVM_PRECISION","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","0","SVM_RECALL","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","NaN","SVM_FSCORE","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","NaN","GLMNET_PRECISION","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","0","GLMNET_RECALL","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","0","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","0","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"1","NaN","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_8_Illinois Department of Corrections"
"0.95","0.5","SVM_PRECISION","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.99","0.13","SVM_RECALL","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.97","0.21","SVM_FSCORE","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.95","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_9_Domestic Violence"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.97","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.95","0.6","GLMNET_PRECISION","mydtm_sparse_0.98","code_9_Domestic Violence"
"1","0.12","GLMNET_RECALL","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.97","0.2","GLMNET_FSCORE","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.96","0.43","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.97","0.35","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.96","0.39","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_9_Domestic Violence"
"0.97","0.89","SVM_PRECISION","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.99","0.67","SVM_RECALL","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.98","0.76","SVM_FSCORE","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.95","0.95","FORESTS_PRECISION","mydtm_sparse_0.98","code_10_Sexual Assault"
"1","0.54","FORESTS_RECALL","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.97","0.69","FORESTS_FSCORE","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.96","0.9","GLMNET_PRECISION","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.99","0.63","GLMNET_RECALL","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.97","0.74","GLMNET_FSCORE","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.98","0.8","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_10_Sexual Assault"
