"df_name","crime_category","ensemble_model","num_articles_predicted","Precision","Recall","F_Score","Accuracy","True_Negative_n","False_Negative_n","True_Positive_n_","False_Positive_","is_tfidf","is_stem","is_stem_and_tfidf","df_term_total","total_positives","total_negatives"
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_one_model_prob_1_greater_than_0.2",1000,0.463,1,0.633,0.488,46,0,442,512,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_two_models_prob_1_greater_than_0.2",1000,0.505,0.989,0.669,0.567,130,5,437,428,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_three_models_prob_1_greater_than_0.2",1000,0.569,0.948,0.711,0.659,240,23,419,318,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","all_models_prob_1_greater_than_0.2",1000,0.684,0.611,0.645,0.703,433,172,270,125,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_one_model_prob_1_greater_than_0.3",1000,0.499,0.991,0.664,0.557,119,4,438,439,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_two_models_prob_1_greater_than_0.3",1000,0.571,0.966,0.718,0.664,237,15,427,321,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_three_models_prob_1_greater_than_0.3",1000,0.641,0.898,0.748,0.733,336,45,397,222,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","all_models_prob_1_greater_than_0.3",1000,0.73,0.586,0.65,0.721,462,183,259,96,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_one_model_prob_1_greater_than_0.4",1000,0.556,0.966,0.706,0.644,217,15,427,341,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_two_models_prob_1_greater_than_0.4",1000,0.636,0.932,0.756,0.734,322,30,412,236,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_three_models_prob_1_greater_than_0.4",1000,0.705,0.833,0.763,0.772,404,74,368,154,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","all_models_prob_1_greater_than_0.4",1000,0.76,0.552,0.64,0.725,481,198,244,77,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_one_model_prob_1_greater_than_0.5",1000,0.615,0.939,0.743,0.713,298,27,415,260,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_two_models_prob_1_greater_than_0.5",1000,0.702,0.844,0.767,0.773,400,69,373,158,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_three_models_prob_1_greater_than_0.5",1000,0.756,0.699,0.726,0.767,458,133,309,100,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","all_models_prob_1_greater_than_0.5",1000,0.779,0.455,0.574,0.702,501,241,201,57,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_one_model_prob_1_greater_than_0.6",1000,0.64,0.864,0.735,0.725,343,60,382,215,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_two_models_prob_1_greater_than_0.6",1000,0.742,0.71,0.726,0.763,449,128,314,109,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_three_models_prob_1_greater_than_0.6",1000,0.801,0.545,0.649,0.739,498,201,241,60,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","all_models_prob_1_greater_than_0.6",1000,0.828,0.317,0.458,0.669,529,302,140,29,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_one_model_prob_1_greater_than_0.7",1000,0.634,0.781,0.7,0.704,359,97,345,199,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_two_models_prob_1_greater_than_0.7",1000,0.785,0.579,0.667,0.744,488,186,256,70,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_three_models_prob_1_greater_than_0.7",1000,0.845,0.371,0.516,0.692,528,278,164,30,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","all_models_prob_1_greater_than_0.7",1000,0.923,0.136,0.237,0.613,553,382,60,5,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_one_model_prob_1_greater_than_0.8",1000,0.642,0.695,0.667,0.694,387,135,307,171,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_two_models_prob_1_greater_than_0.8",1000,0.823,0.378,0.518,0.689,522,275,167,36,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","at_least_three_models_prob_1_greater_than_0.8",1000,0.914,0.145,0.25,0.616,552,378,64,6,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_2_Chicago Police Department","all_models_prob_1_greater_than_0.8",1000,1,0.041,0.078,0.576,558,424,18,0,0,0,0,1305,442,558
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_one_model_prob_1_greater_than_0.2",1000,0.371,0.854,0.517,0.858,782,13,76,129,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_two_models_prob_1_greater_than_0.2",1000,0.566,0.719,0.634,0.926,862,25,64,49,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_three_models_prob_1_greater_than_0.2",1000,0.68,0.573,0.622,0.938,887,38,51,24,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","all_models_prob_1_greater_than_0.2",1000,0.729,0.393,0.511,0.933,898,54,35,13,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_one_model_prob_1_greater_than_0.3",1000,0.425,0.73,0.537,0.888,823,24,65,88,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_two_models_prob_1_greater_than_0.3",1000,0.548,0.517,0.532,0.919,873,43,46,38,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_three_models_prob_1_greater_than_0.3",1000,0.698,0.416,0.521,0.932,895,52,37,16,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","all_models_prob_1_greater_than_0.3",1000,0.743,0.292,0.419,0.928,902,63,26,9,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_one_model_prob_1_greater_than_0.4",1000,0.455,0.674,0.543,0.899,839,29,60,72,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_two_models_prob_1_greater_than_0.4",1000,0.563,0.449,0.5,0.92,880,49,40,31,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_three_models_prob_1_greater_than_0.4",1000,0.722,0.292,0.416,0.927,901,63,26,10,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","all_models_prob_1_greater_than_0.4",1000,0.765,0.146,0.245,0.92,907,76,13,4,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_one_model_prob_1_greater_than_0.5",1000,0.431,0.596,0.5,0.894,841,36,53,70,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_two_models_prob_1_greater_than_0.5",1000,0.596,0.348,0.44,0.921,890,58,31,21,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_three_models_prob_1_greater_than_0.5",1000,0.714,0.225,0.342,0.923,903,69,20,8,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","all_models_prob_1_greater_than_0.5",1000,0.667,0.045,0.084,0.913,909,85,4,2,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_one_model_prob_1_greater_than_0.6",1000,0.448,0.584,0.507,0.899,847,37,52,64,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_two_models_prob_1_greater_than_0.6",1000,0.61,0.281,0.385,0.92,895,64,25,16,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_three_models_prob_1_greater_than_0.6",1000,0.636,0.157,0.252,0.917,903,75,14,8,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","all_models_prob_1_greater_than_0.6",1000,NA,0,NA,0.911,911,89,0,0,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_one_model_prob_1_greater_than_0.7",1000,0.459,0.562,0.505,0.902,852,39,50,59,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_two_models_prob_1_greater_than_0.7",1000,0.647,0.247,0.358,0.921,899,67,22,12,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_three_models_prob_1_greater_than_0.7",1000,0.611,0.124,0.206,0.915,904,78,11,7,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","all_models_prob_1_greater_than_0.7",1000,NA,0,NA,0.911,911,89,0,0,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_one_model_prob_1_greater_than_0.8",1000,0.485,0.551,0.516,0.908,859,40,49,52,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_two_models_prob_1_greater_than_0.8",1000,0.615,0.18,0.278,0.917,901,73,16,10,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","at_least_three_models_prob_1_greater_than_0.8",1000,0.667,0.09,0.158,0.915,907,81,8,4,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_3_Cook County State's Attorney's Office","all_models_prob_1_greater_than_0.8",1000,NA,0,NA,0.911,911,89,0,0,0,0,0,1305,89,911
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_one_model_prob_1_greater_than_0.2",1000,0.167,0.795,0.276,0.837,806,8,31,155,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_two_models_prob_1_greater_than_0.2",1000,0.211,0.487,0.295,0.909,890,20,19,71,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_three_models_prob_1_greater_than_0.2",1000,0.27,0.256,0.263,0.944,934,29,10,27,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","all_models_prob_1_greater_than_0.2",1000,0.222,0.103,0.14,0.951,947,35,4,14,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_one_model_prob_1_greater_than_0.3",1000,0.188,0.564,0.282,0.888,866,17,22,95,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_two_models_prob_1_greater_than_0.3",1000,0.224,0.282,0.25,0.934,923,28,11,38,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_three_models_prob_1_greater_than_0.3",1000,0.267,0.103,0.148,0.954,950,35,4,11,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","all_models_prob_1_greater_than_0.3",1000,0.333,0.077,0.125,0.958,955,36,3,6,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_one_model_prob_1_greater_than_0.4",1000,0.198,0.487,0.281,0.903,884,20,19,77,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_two_models_prob_1_greater_than_0.4",1000,0.148,0.103,0.121,0.942,938,35,4,23,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_three_models_prob_1_greater_than_0.4",1000,0.375,0.077,0.128,0.959,956,36,3,5,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","all_models_prob_1_greater_than_0.4",1000,1,0.026,0.05,0.962,961,38,1,0,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_one_model_prob_1_greater_than_0.5",1000,0.179,0.385,0.244,0.907,892,24,15,69,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_two_models_prob_1_greater_than_0.5",1000,0.25,0.077,0.118,0.955,952,36,3,9,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_three_models_prob_1_greater_than_0.5",1000,0.5,0.051,0.093,0.961,959,37,2,2,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","all_models_prob_1_greater_than_0.5",1000,NA,0,NA,0.961,961,39,0,0,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_one_model_prob_1_greater_than_0.6",1000,0.188,0.385,0.252,0.911,896,24,15,65,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_two_models_prob_1_greater_than_0.6",1000,0.333,0.051,0.089,0.959,957,37,2,4,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_three_models_prob_1_greater_than_0.6",1000,0.333,0.026,0.048,0.96,959,38,1,2,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","all_models_prob_1_greater_than_0.6",1000,NA,0,NA,0.961,961,39,0,0,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_one_model_prob_1_greater_than_0.7",1000,0.19,0.385,0.254,0.912,897,24,15,64,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_two_models_prob_1_greater_than_0.7",1000,0.4,0.051,0.091,0.96,958,37,2,3,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_three_models_prob_1_greater_than_0.7",1000,0,0,NA,0.959,959,39,0,2,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","all_models_prob_1_greater_than_0.7",1000,NA,0,NA,0.961,961,39,0,0,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_one_model_prob_1_greater_than_0.8",1000,0.182,0.359,0.241,0.912,898,25,14,63,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_two_models_prob_1_greater_than_0.8",1000,0.4,0.051,0.091,0.96,958,37,2,3,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","at_least_three_models_prob_1_greater_than_0.8",1000,0,0,NA,0.96,960,39,0,1,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_4_Cook County Circuit Court","all_models_prob_1_greater_than_0.8",1000,NA,0,NA,0.961,961,39,0,0,0,0,0,1305,39,961
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_one_model_prob_1_greater_than_0.2",1000,0.357,0.714,0.476,0.967,952,6,15,27,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_two_models_prob_1_greater_than_0.2",1000,0.632,0.571,0.6,0.984,972,9,12,7,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_three_models_prob_1_greater_than_0.2",1000,0.667,0.476,0.556,0.984,974,11,10,5,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","all_models_prob_1_greater_than_0.2",1000,0.833,0.238,0.37,0.983,978,16,5,1,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_one_model_prob_1_greater_than_0.3",1000,0.353,0.571,0.436,0.969,957,9,12,22,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_two_models_prob_1_greater_than_0.3",1000,0.647,0.524,0.579,0.984,973,10,11,6,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_three_models_prob_1_greater_than_0.3",1000,0.7,0.333,0.452,0.983,976,14,7,3,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","all_models_prob_1_greater_than_0.3",1000,1,0.095,0.174,0.981,979,19,2,0,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_one_model_prob_1_greater_than_0.4",1000,0.393,0.524,0.449,0.973,962,10,11,17,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_two_models_prob_1_greater_than_0.4",1000,0.647,0.524,0.579,0.984,973,10,11,6,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_three_models_prob_1_greater_than_0.4",1000,0.778,0.333,0.467,0.984,977,14,7,2,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","all_models_prob_1_greater_than_0.4",1000,NA,0,NA,0.979,979,21,0,0,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_one_model_prob_1_greater_than_0.5",1000,0.407,0.524,0.458,0.974,963,10,11,16,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_two_models_prob_1_greater_than_0.5",1000,0.643,0.429,0.514,0.983,974,12,9,5,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_three_models_prob_1_greater_than_0.5",1000,0.778,0.333,0.467,0.984,977,14,7,2,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","all_models_prob_1_greater_than_0.5",1000,NA,0,NA,0.979,979,21,0,0,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_one_model_prob_1_greater_than_0.6",1000,0.423,0.524,0.468,0.975,964,10,11,15,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_two_models_prob_1_greater_than_0.6",1000,0.643,0.429,0.514,0.983,974,12,9,5,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_three_models_prob_1_greater_than_0.6",1000,0.667,0.19,0.296,0.981,977,17,4,2,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","all_models_prob_1_greater_than_0.6",1000,NA,0,NA,0.979,979,21,0,0,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_one_model_prob_1_greater_than_0.7",1000,0.423,0.524,0.468,0.975,964,10,11,15,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_two_models_prob_1_greater_than_0.7",1000,0.667,0.381,0.485,0.983,975,13,8,4,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_three_models_prob_1_greater_than_0.7",1000,0.6,0.143,0.231,0.98,977,18,3,2,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","all_models_prob_1_greater_than_0.7",1000,NA,0,NA,0.979,979,21,0,0,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_one_model_prob_1_greater_than_0.8",1000,0.423,0.524,0.468,0.975,964,10,11,15,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_two_models_prob_1_greater_than_0.8",1000,0.7,0.333,0.452,0.983,976,14,7,3,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","at_least_three_models_prob_1_greater_than_0.8",1000,0.6,0.143,0.231,0.98,977,18,3,2,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_5_Cook County Jail","all_models_prob_1_greater_than_0.8",1000,NA,0,NA,0.979,979,21,0,0,0,0,0,1305,21,979
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_one_model_prob_1_greater_than_0.2",1000,0.409,0.587,0.482,0.942,915,19,27,39,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_two_models_prob_1_greater_than_0.2",1000,0.605,0.5,0.548,0.962,939,23,23,15,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_three_models_prob_1_greater_than_0.2",1000,0.75,0.326,0.455,0.964,949,31,15,5,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","all_models_prob_1_greater_than_0.2",1000,0.7,0.152,0.25,0.958,951,39,7,3,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_one_model_prob_1_greater_than_0.3",1000,0.438,0.457,0.447,0.948,927,25,21,27,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_two_models_prob_1_greater_than_0.3",1000,0.6,0.261,0.364,0.958,946,34,12,8,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_three_models_prob_1_greater_than_0.3",1000,0.769,0.217,0.339,0.961,951,36,10,3,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","all_models_prob_1_greater_than_0.3",1000,0.571,0.087,0.151,0.955,951,42,4,3,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_one_model_prob_1_greater_than_0.4",1000,0.5,0.457,0.477,0.954,933,25,21,21,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_two_models_prob_1_greater_than_0.4",1000,0.75,0.261,0.387,0.962,950,34,12,4,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_three_models_prob_1_greater_than_0.4",1000,0.778,0.152,0.255,0.959,952,39,7,2,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","all_models_prob_1_greater_than_0.4",1000,0.6,0.065,0.118,0.955,952,43,3,2,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_one_model_prob_1_greater_than_0.5",1000,0.441,0.326,0.375,0.95,935,31,15,19,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_two_models_prob_1_greater_than_0.5",1000,0.714,0.217,0.333,0.96,950,36,10,4,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_three_models_prob_1_greater_than_0.5",1000,0.714,0.109,0.189,0.957,952,41,5,2,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","all_models_prob_1_greater_than_0.5",1000,0.333,0.022,0.041,0.953,952,45,1,2,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_one_model_prob_1_greater_than_0.6",1000,0.414,0.261,0.32,0.949,937,34,12,17,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_two_models_prob_1_greater_than_0.6",1000,0.636,0.152,0.246,0.957,950,39,7,4,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_three_models_prob_1_greater_than_0.6",1000,0.714,0.109,0.189,0.957,952,41,5,2,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","all_models_prob_1_greater_than_0.6",1000,NA,0,NA,0.954,954,46,0,0,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_one_model_prob_1_greater_than_0.7",1000,0.414,0.261,0.32,0.949,937,34,12,17,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_two_models_prob_1_greater_than_0.7",1000,0.556,0.109,0.182,0.955,950,41,5,4,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_three_models_prob_1_greater_than_0.7",1000,0.667,0.087,0.154,0.956,952,42,4,2,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","all_models_prob_1_greater_than_0.7",1000,NA,0,NA,0.954,954,46,0,0,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_one_model_prob_1_greater_than_0.8",1000,0.44,0.239,0.31,0.951,940,35,11,14,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_two_models_prob_1_greater_than_0.8",1000,0.714,0.109,0.189,0.957,952,41,5,2,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","at_least_three_models_prob_1_greater_than_0.8",1000,0.667,0.087,0.154,0.956,952,42,4,2,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_6_Cook County Sheriff's Police","all_models_prob_1_greater_than_0.8",1000,NA,0,NA,0.954,954,46,0,0,0,0,0,1305,46,954
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_one_model_prob_1_greater_than_0.2",1000,0.333,0.286,0.308,0.991,989,5,2,4,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_two_models_prob_1_greater_than_0.2",1000,0.5,0.143,0.222,0.993,992,6,1,1,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_three_models_prob_1_greater_than_0.2",1000,NA,0,NA,0.993,993,7,0,0,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","all_models_prob_1_greater_than_0.2",1000,NA,0,NA,0.993,993,7,0,0,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_one_model_prob_1_greater_than_0.3",1000,0.333,0.286,0.308,0.991,989,5,2,4,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_two_models_prob_1_greater_than_0.3",1000,0.5,0.143,0.222,0.993,992,6,1,1,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_three_models_prob_1_greater_than_0.3",1000,NA,0,NA,0.993,993,7,0,0,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","all_models_prob_1_greater_than_0.3",1000,NA,0,NA,0.993,993,7,0,0,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_one_model_prob_1_greater_than_0.4",1000,0.5,0.286,0.364,0.993,991,5,2,2,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_two_models_prob_1_greater_than_0.4",1000,0,0,NA,0.992,992,7,0,1,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_three_models_prob_1_greater_than_0.4",1000,NA,0,NA,0.993,993,7,0,0,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","all_models_prob_1_greater_than_0.4",1000,NA,0,NA,0.993,993,7,0,0,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_one_model_prob_1_greater_than_0.5",1000,0.5,0.286,0.364,0.993,991,5,2,2,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_two_models_prob_1_greater_than_0.5",1000,0,0,NA,0.992,992,7,0,1,0,0,0,1305,7,993
"mydtm_sparse_0.98","code_7_Cook County Public Defender's Office","at_least_three_models_prob_1_greater_than_0.5",1000,NA,0,NA,0.993,993,7,0,0,0,0,0,1305,7,993
